xmlns,id,name,market,alias,team__full__name,founded,reference,venue__name,venue__capacity,venue__city,venue__state,venue__state__name,venue__country,hierarchy__|,hierarchy__|__id,hierarchy__|__name,hierarchy__|__alias,coaches__coach__id,coaches__coach__full_name,coaches__coach__first_name,coaches__coach__last_name,coaches__coach__position,coaches__coach__experience,coaches__coach__reference,players__player__id,players__player__status,players__player__full_name,players__player__first_name,players__player__last_name,players__player__abbr_name,players__player__height,players__player__weight,players__player__position,players__player__primary_position,players__player__jersey_number,players__player__experience,players__player__college,players__player__birth_place,players__player__birth_state,players__player__birth_state_code,players__player__birth_country,players__player__birth_country_code,players__player__birthdate,players__player__age,players__player__draft__year
,,,,,,,,,,,,,,division,54dc7348-c1d2-40d8-88b3-c4c0138e085d,Southeast,SOUTHEAST,,,,,,,,4bce90d5-d5ef-4fe3-b6ce-c974a3d44bdc,ACT,Dwayne Bacon,Dwayne,Bacon,D.Bacon,79,221,G-F,SG,7,1,Florida State,"Lakeland, FL, USA",Florida,FL,USA,USA,30/08/1995,23,2017
,,,,,,,,,,,,,,,,,,,,,,,,,5e365d31-3524-45d1-8327-50e7ff7e1dab,ACT,Willy Hernangomez,Willy,Hernangomez,W.Hernangomez,83,240,C,C,41,3,,"Madrid,, ESP",,,Spain,ESP,27/05/1994,24,2015
,,,,,,,,,,,,,,,,,,,,,,,,,604571ce-5be8-4938-b8fb-945ff8d15f8d,ACT,Devonte' Graham,Devonte',Graham,D.Graham,74,185,G,PG,4,0,Kansas,"Raleigh, NC, USA",North Carolina,NC,USA,USA,22/02/1995,23,2018
,,,,,,,,,,,,,,,,,,,,,,,,,6d7f4f2f-7ea7-4c56-8082-dfdce67f5487,NWT,PJ Washington,PJ,Washington,P.Washington,79,227,F,PF,,0,Kentucky,"Louisville, KY, USA",Kentucky,KY,USA,USA,23/08/1998,20,2019
,,,,,,,,,,,,,,,,,,,,,,,,,6eadcfb0-1d51-4525-add6-17f07ae2ad49,NWT,Cody Martin,Cody,Martin,C.Martin,79,200,G,SG,,0,Nevada,"Mocksville, NC, USA",North Carolina,NC,USA,USA,28/09/1995,23,2019
,,,,,,,,,,,,,,,,,,,,,,,,,77cd0eac-afc3-4791-94cf-f8ebfab0a88b,D-LEAGUE,Joe Chealey,Joe,Chealey,J.Chealey,75,190,G,PG,31,0,Charleston (SC),"Orlando, FL, USA",Florida,FL,USA,USA,01/11/1995,22,2018
,,,,,,,,,,,,,,,,,,,,,,,,,8d80f6fc-a7ac-48cf-bcd8-516d57acbbfe,ACT,Jeremy Lamb,Jeremy,Lamb,J.Lamb,77,185,G,SG,3,6,Connecticut,"Norcross, GA, USA",Georgia,GA,USA,USA,30/05/1992,26,2012
,,,,,,,,,,,,,,,,,,,,,,,,,8e3cbaa3-e30a-4cf8-aa7a-1b57f15f0f98,ACT,Bismack Biyombo,Bismack,Biyombo,B.Biyombo,81,255,C,C,8,7,,"Lubumbashi,, COD",,,Democratic Republic of Congo,COD,28/08/1992,26,2011
,,,,,,,,,,,,,,,,,,,,,,,,,a35ee8ed-f1db-4f7e-bb17-f823e8ee0b38,ACT,Kemba Walker,Kemba,Walker,K.Walker,73,184,G,PG,15,7,Connecticut,"The Bronx, NY, USA",New York,NY,USA,USA,08/05/1990,28,2011
,,,,,,,,,,,,,,,,,,,,,,,,,a89ac040-715d-4057-8fc0-9d71ad06fa0a,ACT,Nicolas Batum,Nicolas,Batum,N.Batum,80,200,G-F,SG,5,10,,"Lisieux,, FRA",,,France,FRA,14/12/1988,29,2008
,,,,,,,,,,,,,,,,,,,,,,,,,aaaf11cd-8988-4af1-a7cb-c77d83356503,D-LEAGUE,J.P. Macura,J.P.,Macura,J.Macura,77,205,G,SG,55,0,Xavier (Ohio),"Lakeville, MN, USA",Minnesota,MN,USA,USA,05/06/1995,23,2018
,,,,,,,,,,,,,,,,,,,,,,,,,af8f331b-96a6-416e-8837-b14d5b11c52d,ACT,Miles Bridges,Miles,Bridges,M.Bridges,79,225,F,SF,0,0,Michigan State,"Flint, MI, USA",Michigan,MI,USA,USA,21/03/1998,20,2018
,,,,,,,,,,,,,,,,,,,,,,,,,b1b2d578-44df-4e05-9884-31dd89e82cf0,ACT,Tony Parker,Tony,Parker,T.Parker,74,185,G,PG,9,17,,"Bruges,, BEL",,,Belgium,BEL,17/05/1982,36,2001
,,,,,,,,,,,,,,,,,,,,,,,,,c9b1c381-e0ac-4618-9887-ce3e8993b265,ACT,Frank Kaminsky,Frank,Kaminsky,F.Kaminsky,84,242,F-C,PF,44,3,Wisconsin,"Lisle, IL, USA",Illinois,IL,USA,USA,04/04/1993,25,2015
,,,,,,,,,,,,,,,,,,,,,,,,,e17a3191-b05c-4878-8be6-21028b8ec007,ACT,Marvin Williams,Marvin,Williams,M.Williams,81,237,F,PF,2,13,North Carolina,"Bremerton, WA, USA",Washington,WA,USA,USA,19/06/1986,32,2005
,,,,,,,,,,,,,,,,,,,,,,,,,e1ce75b8-44ce-4086-b2e1-d2e22efc86ff,ACT,Cody Zeller,Cody,Zeller,C.Zeller,84,240,C,C,40,5,Indiana,"Washington, IN, USA",Indiana,IN,USA,USA,05/10/1992,26,2013
